ball_1,ball_2,ball_3,ball_4,ball_5,win_times
12,23,29,30,37,1
10,23,29,30,37,1
10,12,29,30,37,1
10,12,23,30,37,1
10,12,23,29,37,1
10,12,23,29,30,1
1,24,25,30,31,1
1,24,25,31,37,1
5,13,23,31,36,1
10,13,18,30,38,1
2,16,24,26,40,1
2,6,24,26,40,1
2,6,16,26,40,1
2,6,16,24,40,1
2,6,16,24,26,1
13,18,28,30,38,1
10,18,28,30,38,1
10,13,28,30,38,1
10,13,18,28,38,1
1,24,30,31,37,1
10,13,18,28,30,1
5,11,26,35,37,1
3,11,26,35,37,1
3,5,26,35,37,1
3,5,11,35,37,1
3,5,11,26,37,1
3,5,11,26,35,1
12,25,28,33,36,1
6,16,24,26,40,1
8,9,12,18,35,1
8,9,12,18,41,1
8,9,12,35,41,1
5,13,23,29,36,1
5,13,23,29,31,1
6,11,15,16,27,1
3,11,15,16,27,1
3,6,15,16,27,1
3,6,11,16,27,1
3,6,11,15,27,1
3,6,11,15,16,1
11,18,27,39,40,1
2,18,27,39,40,1
2,11,27,39,40,1
2,11,18,39,40,1
2,11,18,27,40,1
2,11,18,27,39,1
9,12,18,35,41,1
8,12,18,35,41,1
8,9,18,35,41,1
11,25,28,33,36,1
11,12,28,33,36,1
11,12,25,33,36,1
4,13,40,41,42,1
4,5,13,41,42,1
4,5,13,40,42,1
4,5,13,40,41,1
20,30,31,35,37,1
12,30,31,35,37,1
12,20,31,35,37,1
12,20,30,35,37,1
12,20,30,31,37,1
12,20,30,31,35,1
11,13,19,38,42,1
6,13,19,38,42,1
6,11,19,38,42,1
6,11,13,38,42,1
6,11,13,19,42,1
6,11,13,19,38,1
24,25,30,31,37,1
1,25,30,31,37,1
4,5,40,41,42,1
5,13,40,41,42,1
11,12,25,28,36,1
1,5,14,16,25,1
11,12,25,28,33,1
23,26,31,33,36,1
9,26,31,33,36,1
9,23,31,33,36,1
9,23,26,33,36,1
9,23,26,31,36,1
9,23,26,31,33,1
