game_number,day,month,year,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,super_ball,MEGA_JACK_POT_WINNERS,MEGA_JACK_POT_SUMM,MEGA_PRISE_WINNERS,MEGA_PRISE_SUMM,5_plus_MegaBall_WINNERS,5_plus_MegaBall_SUMM,5_Balls_WINNERS,5_Balls_SUMM,4_plus_MegaBall_WINNERS,4_plus_MegaBall_SUMM,4_Balls_WINNERS,4_Balls_SUMM,3_plus_MegaBall_WINNERS,3_plus_MegaBall_SUMM,3_Balls_WINNERS,3_Balls_SUMM
1281,7,12,2013,06,10,21,26,35,38,3,0,15000000,0,5000000,0,0,6,9564,36,522,234,261,546,52,3347,26
1282,11,12,2013,05,20,29,38,39,42,7,0,15000000,0,5000000,0,0,2,26222,44,528,189,264,556,50,3176,25
1283,14,12,2013,03,12,26,27,34,39,9,0,15000000,0,5000000,1,18822,5,9411,28,460,267,230,604,44,4109,22
1284,18,12,2013,04,12,22,28,36,37,9,0,15000000,0,5000000,0,0,9,6518,32,478,278,239,499,46,4211,23
1285,21,12,2013,03,05,07,11,27,35,1,0,15000000,0,5000000,2,13932,6,6966,55,316,387,158,717,40,4985,20
1286,25,12,2013,13,15,22,31,37,41,4,0,15000000,0,5000000,0,0,2,32148,49,466,287,233,848,44,4219,22
1287,28,12,2013,19,24,33,36,38,39,3,0,15000000,0,5000000,4,8202,12,4101,77,386,326,193,863,44,5007,22
1288,1,1,2014,02,17,20,21,28,29,7,0,15000000,0,5000000,1,11956,9,5978,55,342,323,171,845,40,4235,20
1289,4,1,2014,08,27,29,30,35,39,8,0,15000000,0,5000000,0,0,12,4753,32,584,208,292,555,50,3468,25
1290,8,1,2014,01,17,21,37,38,42,4,0,15000000,0,5000000,1,12004,8,6002,21,526,215,263,525,48,3553,24
1291,11,1,2014,02,19,27,38,40,41,1,0,15000000,0,5000000,1,17462,6,8731,32,494,255,247,542,52,3788,26
1292,15,1,2014,06,12,14,15,17,37,9,0,15000000,0,5000000,0,0,1,59278,25,556,220,278,477,50,3969,25
1293,18,1,2014,02,06,20,22,24,32,4,0,15000000,0,5000000,1,23118,4,11559,39,480,248,240,684,48,3946,24
1294,22,1,2014,02,09,10,11,17,28,8,0,15000000,0,5000000,0,0,6,8625,34,400,260,200,537,44,3783,22
1295,25,1,2014,08,09,13,27,37,42,1,0,15000000,0,5000000,1,39596,1,19798,33,452,230,226,520,46,3600,23
1296,29,1,2014,03,08,27,28,35,37,3,0,15000000,0,5000000,0,0,4,11808,42,466,173,233,524,50,2827,25
1297,1,2,2014,01,03,09,12,20,30,6,0,15000000,0,5000000,3,9470,6,4735,44,336,293,168,600,42,3782,21
